"pref_code","pref_name","year","total_count","population","count_per_100k"
"29","奈良県",2016,54171,1356000,3994.91150442478
"30","和歌山県",2016,32608,954000,3418.02935010482
"31","鳥取県",2016,21728,570000,3811.9298245614
"32","島根県",2016,24012,690000,3480
"33","岡山県",2016,57750,1915000,3015.66579634465
"34","広島県",2016,111969,2837000,3946.73951357067
"35","山口県",2016,43634,1394000,3130.12912482066
"36","徳島県",2016,29046,750000,3872.8
"37","香川県",2016,34343,972000,3533.2304526749
"38","愛媛県",2016,50702,1375000,3687.41818181818
"39","高知県",2016,19737,721000,2737.4479889043
"40","福岡県",2016,212361,5104000,4160.67789968652
"41","佐賀県",2016,22675,828000,2738.52657004831
"42","長崎県",2016,48027,1367000,3513.31382589612
"43","熊本県",2016,56213,1774000,3168.71476888388
"44","大分県",2016,41710,1160000,3595.68965517241
"45","宮崎県",2016,33787,1096000,3082.75547445256
"46","鹿児島県",2016,55546,1637000,3393.15821624924
"47","沖縄県",2016,42586,1439000,2959.41626129256
"01","北海道",2017,194857,5320000,3662.72556390977
"02","青森県",2017,57853,1278000,4526.83881064163
"03","岩手県",2017,47570,1255000,3790.43824701195
"04","宮城県",2017,98351,2323000,4233.79250968575
"05","秋田県",2017,45326,996000,4550.80321285141
"06","山形県",2017,39191,1102000,3556.35208711434
"07","福島県",2017,64723,1882000,3439.05419766206
"08","茨城県",2017,95560,2892000,3304.28769017981
"09","栃木県",2017,71885,1957000,3673.22432294328
"10","群馬県",2017,68391,1960000,3489.33673469388
"11","埼玉県",2017,171608,7310000,2347.57865937073
"12","千葉県",2017,186917,6246000,2992.58725584374
"13","東京都",2017,529864,13724000,3860.8568930341
"14","神奈川県",2017,293292,9159000,3202.22731739273
"15","新潟県",2017,81669,2267000,3602.51433612704
"16","富山県",2017,35250,1056000,3338.06818181818
"17","石川県",2017,42814,1147000,3732.69398430689
"18","福井県",2017,24560,779000,3152.75994865212
"19","山梨県",2017,27955,823000,3396.71931956258
"20","長野県",2017,69982,2076000,3371.00192678227
"21","岐阜県",2017,66297,2008000,3301.64342629482
"22","静岡県",2017,136317,3675000,3709.30612244898
"23","愛知県",2017,225128,7525000,2991.7342192691
"24","三重県",2017,46339,1800000,2574.38888888889
"25","滋賀県",2017,46334,1413000,3279.12243453645
"26","京都府",2017,88323,2599000,3398.34551750673
"27","大阪府",2017,332632,8823000,3770.05553666553
"28","兵庫県",2017,169835,5503000,3086.22569507541
"29","奈良県",2017,51462,1348000,3817.65578635015
"30","和歌山県",2017,31665,945000,3350.79365079365
"31","鳥取県",2017,21445,565000,3795.57522123894
"32","島根県",2017,23915,685000,3491.24087591241
"33","岡山県",2017,59655,1907000,3128.21185107499
"34","広島県",2017,109525,2829000,3871.50936726759
"35","山口県",2017,42515,1383000,3074.11424439624
"36","徳島県",2017,28647,743000,3855.58546433378
"37","香川県",2017,34915,967000,3610.65149948294
"38","愛媛県",2017,48833,1364000,3580.13196480938
"39","高知県",2017,19278,714000,2700
"40","福岡県",2017,202256,5107000,3960.36812218524
"41","佐賀県",2017,21008,824000,2549.5145631068
"42","長崎県",2017,47186,1354000,3484.93353028065
"43","熊本県",2017,54559,1765000,3091.16147308782
"44","大分県",2017,37745,1152000,3276.47569444444
"45","宮崎県",2017,31545,1089000,2896.69421487603
"46","鹿児島県",2017,53843,1626000,3311.37761377614
"47","沖縄県",2017,43106,1443000,2987.24878724879
"01","北海道",2018,199583,5286000,3775.69050321604
"02","青森県",2018,58840,1263000,4658.74901029295
"03","岩手県",2018,50907,1241000,4102.09508460919
"04","宮城県",2018,95009,2316000,4102.2884283247
"05","秋田県",2018,46312,981000,4720.89704383282
"06","山形県",2018,40107,1090000,3679.54128440367
"07","福島県",2018,60792,1864000,3261.37339055794
"08","茨城県",2018,91788,2877000,3190.40667361835
"09","栃木県",2018,74108,1946000,3808.2219938335
"10","群馬県",2018,71894,1952000,3683.09426229508
"11","埼玉県",2018,178466,7330000,2434.73396998636
"12","千葉県",2018,180515,6255000,2885.931254996
"13","東京都",2018,539853,13822000,3905.75170018811
"14","神奈川県",2018,298039,9177000,3247.67353165522
"15","新潟県",2018,82241,2246000,3661.66518254675
"16","富山県",2018,38717,1050000,3687.33333333333
